date,year,month,mean_hh_price_MMBtu,sd_hh_price_MMBtu,date_minus_month,date_minus_year,date_minus_lag,roll_mean_hh_price_MMBtu
1999-12-01,1999,12,1.3296905936390477,0.08970439190194414,2000-01-01,2000-12-01,2000-12-01,1.2652271551325038
2000-01-01,2000,1,1.3711940737231578,0.13078465639564754,2000-02-01,2001-01-01,2001-01-01,1.2945940793631179
2000-02-01,2000,2,1.5121408742955,0.0654934055701217,2000-03-01,2001-02-01,2001-02-01,1.339306453073708
2000-03-01,2000,3,1.5974918576772728,0.03703921115687813,2000-04-01,2001-03-01,2001-03-01,1.3901318658017778
2000-04-01,2000,4,1.738539222061579,0.052603738431215456,2000-05-01,2001-04-01,2001-04-01,1.435596274273576
2000-05-01,2000,5,2.0537920083140913,0.2593036403902798,2000-06-01,2001-05-01,2001-05-01,1.5021824679747502
2000-06-01,2000,6,2.4720872408113634,0.0891874645084503,2000-07-01,2001-06-01,2001-06-01,1.6015866490827049
2000-07-01,2000,7,2.30466905109,0.12817519304819244,2000-08-01,2001-07-01,2001-07-01,1.6864479836300859
2000-08-01,2000,8,2.558566883786087,0.13375478361740606,2000-09-01,2001-08-01,2001-08-01,1.7695102284886233
2000-09-01,2000,9,2.9356219248,0.11151623297194058,2000-10-01,2001-09-01,2001-09-01,1.8950637134639805
2000-10-01,2000,10,2.9210783906345457,0.19210759005860972,2000-11-01,2001-10-01,2001-10-01,2.0106697033038037
2000-11-01,2000,11,3.218729391459,0.39669854991859027,2000-12-01,2001-11-01,2001-11-01,2.1678001260243036
2000-12-01,2000,12,5.1972975691,0.6797044428840913,2001-01-01,2001-12-01,2001-12-01,2.4901007073127164
2001-01-01,2001,1,4.80000573036,0.8608822567641026,2001-02-01,2002-01-01,2002-01-01,2.7758350120324535
2001-02-01,2001,2,3.3001490996842104,0.28634256817844644,2001-03-01,2002-02-01,2002-02-01,2.9248356974815124
2001-03-01,2001,3,3.080648333574091,0.08413295734040747,2001-04-01,2002-03-01,2002-03-01,3.048432070472914
2001-04-01,2001,4,3.063208802104,0.1323907198147535,2001-05-01,2002-04-01,2002-04-01,3.1588212021431157
2001-05-01,2001,5,2.4854636354731823,0.15146492502902908,2001-06-01,2002-05-01,2002-05-01,3.1947938377397063
2001-06-01,2001,6,2.2112064597938095,0.1750460819943592,2001-07-01,2002-06-01,2002-06-01,3.17305377265491
2001-07-01,2001,7,1.8446939628804762,0.06826928033251037,2001-08-01,2002-07-01,2002-07-01,3.134722515304117
2001-08-01,2001,8,1.7609028668286957,0.18869886556013016,2001-09-01,2002-08-01,2002-08-01,3.0682505138910012
2001-09-01,2001,9,1.3054624251284213,0.12871454457050688,2001-10-01,2002-09-01,2002-09-01,2.932403888918369
2001-10-01,2001,10,1.4617560271043477,0.2619110693608208,2001-11-01,2002-10-01,2002-10-01,2.8107936919575196
2001-11-01,2001,11,1.3906610589500001,0.24370267619814967,2001-12-01,2002-11-01,2002-11-01,2.658454664248436
2001-12-01,2001,12,1.3659101439442105,0.12786213867378862,2002-01-01,2002-12-01,2002-12-01,2.339172378818787
2002-01-01,2002,1,1.3774403993109523,0.10006910178074599,2002-02-01,2003-01-01,2003-01-01,2.053958601231366
2002-02-01,2002,2,1.3833766670289473,0.06534297360756115,2002-03-01,2003-02-01,2003-02-01,1.8942275651767613
2002-03-01,2002,3,1.8080445820905002,0.20176234972516133,2002-04-01,2003-03-01,2003-03-01,1.7881772525531285
2002-04-01,2002,4,2.055013544869091,0.10366042354531152,2002-05-01,2003-04-01,2003-04-01,1.7041609811168863
2002-05-01,2002,5,2.100149290814546,0.12029420637062642,2002-06-01,2003-05-01,2003-05-01,1.6720514523953331
2002-06-01,2002,6,1.959147127839,0.1123832662210743,2002-07-01,2003-06-01,2003-06-01,1.6510465080657657
2002-07-01,2002,7,1.79834012712,0.0667175800747672,2002-08-01,2003-07-01,2003-07-01,1.6471836884190594
2002-08-01,2002,8,1.8640582373454546,0.14707445233030658,2002-09-01,2003-08-01,2003-08-01,1.655779969295456
2002-09-01,2002,9,2.146089165402,0.19143395057612747,2002-10-01,2003-09-01,2003-09-01,1.7258321976515874
2002-10-01,2002,10,2.500838621293913,0.11288701916682706,2002-11-01,2003-10-01,2003-10-01,1.8124224138340512
2002-11-01,2002,11,2.4543735847094736,0.11907710227242918,2002-12-01,2003-11-01,2003-11-01,1.9010651243140073
2002-12-01,2002,12,2.8827223085485714,0.2100088039019878,2003-01-01,2003-12-01,2003-12-01,2.0274661380310373
2003-01-01,2003,1,3.3176787266361907,0.2501199025356977,2003-02-01,2004-01-01,2004-01-01,2.1891526653081406
2003-02-01,2003,2,4.733166572210526,1.9755422558736568,2003-03-01,2004-02-01,2004-02-01,2.468301824073272
2003-03-01,2003,3,3.6494197121333336,0.7253959075467763,2003-04-01,2004-03-01,2004-03-01,2.6217497515768415
2003-04-01,2003,4,3.2249997227233336,0.15668793033930248,2003-05-01,2004-04-01,2004-04-01,2.719248599731362
2003-05-01,2003,5,3.5564592877642855,0.17317875535949098,2003-06-01,2004-05-01,2004-05-01,2.8406077661438403
2003-06-01,2003,6,3.56326441657,0.22074515234113182,2003-07-01,2004-06-01,2004-06-01,2.9742842068714235
2003-07-01,2003,7,3.088206961137273,0.15764378124572825,2003-08-01,2004-07-01,2004-07-01,3.0817731097061962
2003-08-01,2003,8,3.075984384377143,0.10330509509078917,2003-09-01,2004-08-01,2004-08-01,3.1827669552921702
2003-09-01,2003,9,2.8604640370238097,0.08473714830544979,2003-10-01,2004-09-01,2004-09-01,3.2422981945939875
2003-10-01,2003,10,2.8613808535408696,0.16117063262879183,2003-11-01,2004-10-01,2004-10-01,3.272343380614567
2003-11-01,2003,11,2.7658115657700004,0.13719610690933365,2003-12-01,2004-11-01,2004-11-01,3.2982965457029447
2003-12-01,2003,12,3.8017102039923807,0.3587998334480481,2004-01-01,2004-12-01,2004-12-01,3.3748788703232617
2004-01-01,2004,1,3.825164366298947,0.253672944041686,2004-02-01,2005-01-01,2005-01-01,3.4171693402951586
2004-02-01,2004,2,3.352561871368421,0.12438125206357344,2004-03-01,2005-02-01,2005-02-01,3.3021189485583164
2004-03-01,2004,3,3.3753675040965216,0.09418290196322841,2004-04-01,2005-03-01,2005-03-01,3.2792812645552485
2004-04-01,2004,4,3.5782986833500003,0.07992092001964254,2004-05-01,2005-04-01,2005-04-01,3.308722844607471
2004-05-01,2004,5,3.986637345415,0.13438750532476088,2004-06-01,2005-05-01,2005-05-01,3.3445710160783637
2004-06-01,2004,6,3.961647384495238,0.11373122365254837,2004-07-01,2005-06-01,2005-06-01,3.3777695967388
2004-07-01,2004,7,3.7514068783542855,0.08623983794712041,2004-08-01,2005-07-01,2005-07-01,3.4330362565068846
2004-08-01,2004,8,3.4211311441345456,0.15100937339275533,2004-09-01,2005-08-01,2005-08-01,3.461798486486668
2004-09-01,2004,9,3.2662169005714285,0.3406514922563476,2004-10-01,2005-09-01,2005-09-01,3.4956112251156366
2004-10-01,2004,10,4.054369710993333,0.5578101166803322,2004-11-01,2005-10-01,2005-10-01,3.595026963236675
2004-11-01,2004,11,3.952742565555,0.47568471528438366,2004-12-01,2005-11-01,2005-11-01,3.693937879885425
2004-12-01,2004,12,4.216686175636666,0.2909993589231256,2005-01-01,2005-12-01,2005-12-01,3.7285192108557825
2005-01-01,2005,1,3.9410682642,0.20097565554091362,2005-02-01,2006-01-01,2006-01-01,3.738177869014203
2005-02-01,2005,2,3.9497339312347366,0.12255773831546742,2005-03-01,2006-02-01,2006-02-01,3.787942207336396
2005-03-01,2005,3,4.495053346080001,0.16019435938428125,2005-04-01,2006-03-01,2006-03-01,3.8812493608350196
2005-04-01,2005,4,4.637664421848572,0.1868261474262354,2005-05-01,2006-04-01,2006-04-01,3.969529839043234
2005-05-01,2005,5,4.190952716971428,0.0879976228721689,2005-06-01,2006-05-01,2006-05-01,3.9865561200062696
2005-06-01,2005,6,4.653313731230909,0.2177512196097144,2005-07-01,2006-06-01,2006-06-01,4.0441949822342425
2005-07-01,2005,7,4.9727236676810005,0.15905914042941754,2005-08-01,2006-07-01,2006-07-01,4.145971381344801
2005-08-01,2005,8,6.25219761202174,0.7234629282440419,2005-09-01,2006-08-01,2006-08-01,4.381893587002068
2005-09-01,2005,9,7.809532985905333,0.8425197131206421,2005-10-01,2006-09-01,2006-09-01,4.760503260779893
2005-10-01,2005,10,8.938059705448236,0.38329914015512156,2005-11-01,2006-10-01,2006-10-01,5.167477426984468
2005-11-01,2005,11,6.82705909536,0.6410020036879185,2005-12-01,2006-11-01,2006-11-01,5.407003804468219
2005-12-01,2005,12,8.64582872995,1.1948288156249671,2006-01-01,2006-12-01,2006-12-01,5.776099017327663
2006-01-01,2006,1,5.789891973908,0.3147428782535986,2006-02-01,2007-01-01,2007-01-01,5.93016765980333
2006-02-01,2006,2,5.026058961001579,0.3204202484836893,2006-03-01,2007-02-01,2007-02-01,6.019861412283899
2006-03-01,2006,3,4.6007749284978265,0.20967795113449667,2006-04-01,2007-03-01,2007-03-01,6.0286715441520515
2006-04-01,2006,4,4.808694004098948,0.2667005199370973,2006-05-01,2007-04-01,2007-04-01,6.0429240093395835
2006-05-01,2006,5,4.20455031668,0.2333536355950162,2006-06-01,2007-05-01,2007-05-01,6.04405714264863
2006-06-01,2006,6,4.191370947809999,0.21446861589930555,2006-07-01,2007-06-01,2007-06-01,6.005561910696888
2006-07-01,2006,7,4.186001644252632,0.4992252401830423,2006-08-01,2007-07-01,2007-07-01,5.9400017420778575
2006-08-01,2006,8,4.863565016012174,0.46967129023725207,2006-09-01,2007-08-01,2007-08-01,5.824282359077061
2006-09-01,2006,9,3.3208762852800002,0.3882023093083922,2006-10-01,2007-09-01,2007-09-01,5.450227634024949
2006-10-01,2006,10,3.9482009156013635,0.8435691106597769,2006-11-01,2007-10-01,2007-10-01,5.034406068204377
2006-11-01,2006,11,5.00253854746,0.2477738240690758,2006-12-01,2007-11-01,2007-11-01,4.8823626892127105
2006-12-01,2006,12,4.5739785633554995,0.5672127241695116,2007-01-01,2007-12-01,2007-12-01,4.543041841996502
2007-01-01,2007,1,4.4580081263328575,0.5118759053057844,2007-02-01,2008-01-01,2008-01-01,4.432051521365239
2007-02-01,2007,2,5.46550206465,0.3779371932767131,2007-03-01,2008-02-01,2008-02-01,4.468671780002608
2007-03-01,2007,3,4.8802003946413635,0.18059184309927107,2007-04-01,2008-03-01,2008-03-01,4.49195723551457
2007-04-01,2007,4,5.2341996473865,0.12913692202455246,2007-05-01,2008-04-01,2008-04-01,4.527416039121866
2007-05-01,2007,5,5.281261323838182,0.08342423301730013,2007-06-01,2008-05-01,2008-05-01,4.617141956385048
2007-06-01,2007,6,5.091743660387619,0.2913177995850169,2007-07-01,2008-06-01,2008-06-01,4.6921730157665165
2007-07-01,2007,7,4.3178503769442855,0.20398092116856748,2007-08-01,2008-07-01,2008-07-01,4.703160410157487
2007-08-01,2007,8,4.318663801300435,0.403845865050025,2007-09-01,2008-08-01,2008-08-01,4.657751975598176
2007-09-01,2007,9,4.240462884780527,0.23522311760677167,2007-10-01,2008-09-01,2008-09-01,4.73438419222322
2007-10-01,2007,10,4.717807503505652,0.2371468596054974,2007-11-01,2008-10-01,2008-10-01,4.798518074548577
2007-11-01,2007,11,5.008272473040476,0.23356362550077103,2007-12-01,2008-11-01,2008-11-01,4.798995901680283
2007-12-01,2007,12,5.0242851005424995,0.1016956103497109,2008-01-01,2008-12-01,2008-12-01,4.836521446445866
2008-01-01,2008,1,5.666610616288572,0.18924296471526073,2008-02-01,2009-01-01,2009-01-01,4.937238320608842
2008-02-01,2008,2,6.077787643200001,0.38074117022520754,2008-03-01,2009-02-01,2009-02-01,4.988262118821343
2008-03-01,2008,3,6.719910446617999,0.25471844906578317,2008-04-01,2009-03-01,2009-03-01,5.141571289819396
2008-04-01,2008,4,7.2852647213568185,0.32800459598453796,2008-05-01,2009-04-01,2009-04-01,5.312493379316922
2008-05-01,2008,5,8.111271945023809,0.2644545324484856,2008-06-01,2009-05-01,2009-05-01,5.548327597749058
2008-06-01,2008,6,9.226294971062382,0.24069544759280662,2008-07-01,2009-06-01,2009-06-01,5.892873540305288
2008-07-01,2008,7,8.122642165177274,1.0712409047394469,2008-08-01,2009-07-01,2009-07-01,6.209939522658037
2008-08-01,2008,8,6.0391666405499995,0.3119211583532296,2008-09-01,2009-08-01,2009-08-01,6.353314759262168
2008-09-01,2008,9,5.617647438647619,0.25421881304750643,2008-10-01,2009-09-01,2009-09-01,6.468080138751091
2008-10-01,2008,10,4.889098414846087,0.24653135737627146,2008-11-01,2009-10-01,2009-10-01,6.482354381362794
2008-11-01,2008,11,4.764866186088947,0.16793721800977382,2008-12-01,2009-11-01,2009-11-01,6.462070524116833
2008-12-01,2008,12,4.111761127720909,0.2730235156399718,2009-01-01,2009-12-01,2009-12-01,6.3860268597150345
2009-01-01,2009,1,3.7146221843435,0.3512631591759288,2009-02-01,2010-01-01,2010-01-01,6.2233611570529455
2009-02-01,2009,2,3.2118368511757898,0.22097538281256235,2009-03-01,2010-02-01,2010-02-01,5.984531924384261
2009-03-01,2009,3,2.814086126758182,0.16906146296044752,2009-04-01,2010-03-01,2010-03-01,5.659046564395943
2009-04-01,2009,4,2.4862614459090477,0.10256912575839894,2009-05-01,2010-04-01,2010-04-01,5.259129624775295
2009-05-01,2009,5,2.7305488978425,0.24574304867540836,2009-06-01,2010-05-01,2010-05-01,4.810736037510186
2009-06-01,2009,6,2.730190412740909,0.15666222268303737,2009-07-01,2010-06-01,2010-06-01,4.269393990983397
2009-07-01,2009,7,2.4300301064290912,0.09435779300220912,2009-08-01,2010-07-01,2010-07-01,3.795009652754382
2009-08-01,2009,8,2.263294711259048,0.28382739640018445,2009-09-01,2010-08-01,2010-08-01,3.4803536586468025
2009-09-01,2009,9,2.1562756394666667,0.3869928753721344,2009-10-01,2010-09-01,2010-09-01,3.1919060087150566
2009-10-01,2009,10,2.902133929437273,0.4930952790147072,2009-11-01,2010-10-01,2010-10-01,3.026325634930989
2009-11-01,2009,11,2.661387144471,0.4015054377270809,2009-12-01,2010-11-01,2010-11-01,2.8510357147961596
2009-12-01,2009,12,3.8874627242454545,0.36880832060871216,2010-01-01,2010-12-01,2010-12-01,2.8323441811732053
